,表达式,fitness,OOB fitness,训练集IC,样本外IC,训练集IR,样本外IR,训练集RankIC,样本外RankIC
0,ts_std_10(ts_std_10(收盘价)),0.022022469085882634,0.0,0.022022469085882634,0.0,0.06394607368838741,0.0,0.0,0.0
1,"ts_mean_10(common_log(common_min(0.717, 开盘价)))",0.030271693781471605,0.0,-0.030271693781471605,0.0,0.09237112138242277,0.0,0.0,0.0
2,"common_mul(common_log(成交额), common_sub(-0.095, common_add(成交量, 最高价)))",0.02473221618143813,0.0,0.02473221618143813,0.0,0.06717128635031692,0.0,0.00914881884800377,0.0
3,"common_sqrt(common_sub(成交量, 收盘价))",0.024527637190656208,0.0,-0.024527637190656208,0.0,0.06848319737842182,0.0,-0.00442817320033413,0.0
4,"common_mul(收盘价, common_div(-0.240, common_inv(最低价)))",0.021649868733110988,0.0,-0.021649868733110988,0.0,0.06270839025668004,0.0,0.06128454240786182,0.0
5,"common_sqrt(common_sub(common_sub(最低价, 成交额), ts_std_10(开盘价)))",0.024031193456803233,0.0,-0.024031193456803233,0.0,0.06722869832914352,0.0,-0.1525745722430567,0.0
6,"common_add(最低价, 成交额)",0.025288223849282265,0.0,-0.025288223849282265,0.0,0.06861665414116308,0.0,-0.04950647961562365,0.0
7,"common_add(收盘价, 成交量)",0.024459797397523807,0.0,-0.024459797397523807,0.0,0.06661936414076221,0.0,-0.00442817320033413,0.0
8,common_tan(common_abs(common_abs(开盘价))),0.020204960596453585,0.0,-0.020204960596453585,0.0,0.081210822482179,0.0,0.015043488804269284,0.0
9,"common_div(common_mul(common_abs(成交额), common_div(0.806, 开盘价)), -0.973)",0.024333816574768206,0.0,0.024333816574768206,0.0,0.06626726984137317,0.0,0.0072305878730582985,0.0
10,common_log(成交额),0.020686928728955563,0.0,-0.020686928728955563,0.0,0.06262666780303165,0.0,-0.04950647961562365,0.0
11,common_sqrt(成交量),0.02452763105822691,0.0,-0.02452763105822691,0.0,0.06848317785239445,0.0,-0.00442817320033413,0.0
12,"common_mul(最高价, 成交量)",0.02536393105439555,0.0,-0.02536393105439555,0.0,0.06867295804690378,0.0,-0.050539613322523436,0.0
13,"common_max(common_tan(最低价), 成交量)",0.024459800637348823,0.0,-0.024459800637348823,0.0,0.06661937222515658,0.0,-0.00442817320033413,0.0
14,"common_mul(ts_mean_10(最低价), common_log(最高价))",0.02009494398134743,0.0,0.02009494398134743,0.0,0.056872081415067985,0.0,-0.06361638227260145,0.0
15,"common_sub(收盘价, 成交额)",0.02528822533252464,0.0,0.02528822533252464,0.0,0.06861665821381793,0.0,0.04950647961562365,0.0
16,"common_max(common_inv(成交额), common_abs(成交额))",0.02528822459824015,0.0,-0.02528822459824015,0.0,0.06861665619431621,0.0,-0.04950647961562365,0.0
17,"common_div(最低价, 收盘价)",0.05826358490831747,0.0,0.05826358490831747,0.0,0.16554365705250354,0.0,-0.1437784564374327,0.0
18,"ts_mean_10(ts_std_10(common_min(开盘价, 收盘价)))",0.023842914620239106,0.0,0.023842914620239106,0.0,0.06791932797535276,0.0,0.0,0.0
19,ts_std_10(最高价),0.020467967938298855,0.0,0.020467967938298855,0.0,0.05781825241796097,0.0,-0.11957471851071752,0.0
20,"common_min(common_sub(最低价, 收盘价), common_sqrt(最低价))",0.02547502227855384,0.0,0.02547502227855384,0.0,0.07362832592470143,0.0,-0.05376960521940483,0.0
21,"common_max(0.036, 成交量)",0.024459800637348823,0.0,-0.024459800637348823,0.0,0.06661937222515658,0.0,-0.00442817320033413,0.0
22,ts_std_10(ts_std_10(成交额)),0.026459036226093906,0.0,-0.026459036226093906,0.0,0.07663255812381628,0.0,0.0,0.0
